date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:32:11	319/319	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jul%202018%2023:02:12%20GMT	http://www.urbanui.com/chroma	www.urbanui.com/chroma.0.delayed	(from )
04:32:12	57030/57030	---M-Z	200	added ('OK')	text/html	etag:%22dec6-570cd2f77c9e4-gzip%22	http://www.urbanui.com/chroma/	www.urbanui.com/chroma/index.html	(from )
04:32:12	76/76	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sat,%2014%20Jul%202018%2023:02:13%20GMT	http://www.urbanui.com/robots.txt		(from )
04:32:13	90082/90082	---MCZ	200	added ('OK')	text/css	etag:W/%225b2f6560-15fe2%22	http://www.urbanui.com/chroma/vendors/iconfonts/mdi/css/materialdesignicons.min.css	www.urbanui.com/chroma/vendors/iconfonts/mdi/css/materialdesignicons.min.css	(from http://www.urbanui.com/chroma/)
04:32:13	33688/33688	---MCZ	200	added ('OK')	text/css	etag:W/%225b2f6560-8398%22	http://www.urbanui.com/chroma/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css	www.urbanui.com/chroma/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css	(from http://www.urbanui.com/chroma/)
04:32:14	12958/12958	---MCZ	200	added ('OK')	text/css	etag:W/%225b2f6560-329e%22	http://www.urbanui.com/chroma/vendors/iconfonts/simple-line-icon/css/simple-line-icons.css	www.urbanui.com/chroma/vendors/iconfonts/simple-line-icon/css/simple-line-icons.css	(from http://www.urbanui.com/chroma/)
04:32:14	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%225b2f6560-98c%22	http://www.urbanui.com/chroma/vendors/css/vendor.bundle.base.css	www.urbanui.com/chroma/vendors/css/vendor.bundle.base.css	(from http://www.urbanui.com/chroma/)
04:32:18	1460/1460	---M--	200	added ('OK')	image/png	etag:%225b2f6560-5b4%22	http://www.urbanui.com/chroma/images/favicon.png	www.urbanui.com/chroma/images/favicon.png	(from http://www.urbanui.com/chroma/)
04:32:19	320053/320053	---MCZ	200	added ('OK')	text/css	etag:W/%225b2f6560-4e235%22	http://www.urbanui.com/chroma/vendors/css/vendor.bundle.addons.css	www.urbanui.com/chroma/vendors/css/vendor.bundle.addons.css	(from http://www.urbanui.com/chroma/)
04:32:19	1035267/1035267	---MCZ	200	added ('OK')	text/css	etag:W/%225b4754ea-fcc03%22	http://www.urbanui.com/chroma/css/style.css	www.urbanui.com/chroma/css/style.css	(from http://www.urbanui.com/chroma/)
04:32:19	57030/57030	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-dec6%22	http://www.urbanui.com/chroma/index.html	www.urbanui.com/chroma/index-2.html	(from http://www.urbanui.com/chroma/)
